cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0006	c0006	sb0001	4	100	0.9549340908683247	3.40007	0.533102494488801
p01-s01-c0006	c0006	sb0001	5	100	0.9548944229142354	3.40191	0.5327071838874451
p01-s01-c0006	c0006	sb0002	0	100	0.9549670784452735		
p01-s01-c0006	c0006	sb0002	1	100	0.9549329056016993	3.40799	0.533614328954536
p01-s01-c0006	c0006	sb0002	2	100	0.9550387787827358	3.40488	0.5332192162371455
p01-s01-c0006	c0006	sb0002	3	100	0.9549388745701443	3.40501	0.533270378244014
p01-s01-c0006	c0006	sb0002	4	100	0.9549745004288615	3.40413	0.532999972291083
p01-s01-c0006	c0006	sb0002	5	100	0.9550028461928006	3.40322	0.5340024449947356
p01-s01-c0006	c0006	sb0003	0	100	0.9549670784452735		
p01-s01-c0006	c0006	sb0003	1	100	0.9550025387320238	3.40704	0.533444646840531
p01-s01-c0006	c0006	sb0003	2	100	0.9549827935415885	3.40051	0.5335427296736776
p01-s01-c0006	c0006	sb0003	3	100	0.9549475591008674	3.40827	0.5340048935872093
p01-s01-c0006	c0006	sb0003	4	100	0.9550248613000237	3.40808	0.5337061719608568
p01-s01-c0006	c0006	sb0003	5	100	0.9550234516047729	3.40233	0.5334157710131151
p01-s01-c0007	c0007	sb0001	0	100	0.9549670784452735		
p01-s01-c0007	c0007	sb0001	1	100	0.956674000896249	3.4	0.5185671650964472
p01-s01-c0007	c0007	sb0001	2	100	0.957290346277105	3.5	0.5426497402080159
p01-s01-c0007	c0007	sb0001	3	100	0.9546455499843571	3.32	0.5200459297772249
p01-s01-c0007	c0007	sb0001	4	101	0.9549868724447798	3.43	0.5449884028425006
p01-s01-c0007	c0007	sb0001	5	102	0.954892693502357	3.48	0.5421766748756509
p01-s01-c0007	c0007	sb0002	0	100	0.9549670784452735		
p01-s01-c0007	c0007	sb0002	1	100	0.9549893938861499	3.43	0.5144056598782694
p01-s01-c0007	c0007	sb0002	2	100	0.9573928610475609	3.38	0.5254302096483059
p01-s01-c0007	c0007	sb0002	3	100	0.9534815472138432	3.34	0.5006904164876106
p01-s01-c0007	c0007	sb0002	4	100	0.9565273736467599	3.4	0.5218705074972793
p01-s01-c0007	c0007	sb0002	5	100	0.959739449795519	3.56	0.5329684246238909
p01-s01-c0007	c0007	sb0003	0	100	0.9549670784452735		
p01-s01-c0007	c0007	sb0003	1	100	0.9550339410835613	3.72	0.5461679517769539
p01-s01-c0007	c0007	sb0003	2	100	0.9582531237240823	3.25	0.5216742494008707
p01-s01-c0007	c0007	sb0003	3	100	0.9599923764433679	3.52	0.5312290735450566
p01-s01-c0007	c0007	sb0003	4	100	0.9609506716302838	3.48	0.5404943907576978
p01-s01-c0007	c0007	sb0003	5	101	0.9629010606370905	3.47	0.5394808426920431
p01-s01-c0008	c0008	sb0001	0	100	0.9549670784452735		
p01-s01-c0008	c0008	sb0001	1	103	0.9566741874012993	3.49	0.5185363641678226
p01-s01-c0008	c0008	sb0001	2	103	0.9572929070426519	3.67	0.5434659626074738
p01-s01-c0008	c0008	sb0001	3	105	0.9554363906319981	3.45	0.5116355116244273
p01-s01-c0008	c0008	sb0001	4	103	0.9548785031614254	3.64	0.5569469975218325
p01-s01-c0008	c0008	sb0001	5	104	0.9556333337162123	3.43	0.5180401985681301
p01-s01-c0008	c0008	sb0002	0	100	0.9549670784452735		
p01-s01-c0008	c0008	sb0002	1	100	0.9549902418144659	3.52	0.5144114059796109
