cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	post_return_richness	post_migration_richness	realized_host_feedback	expected_host_feedback_after_migration	migration_replacement_count	realized_migration_fraction	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0012	c0012	sb0002	5	100	0.9542118901212716	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.422	0.537497654580892
p01-s01-c0012	c0012	sb0003	0	100	0.9549670784452735								
p01-s01-c0012	c0012	sb0003	1	100	0.9541684290497986	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.441	0.5259791297793414
p01-s01-c0012	c0012	sb0003	2	100	0.95265552043464	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.343	0.5294928405952167
p01-s01-c0012	c0012	sb0003	3	100	0.9532025398436178	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.399	0.534283815235595
p01-s01-c0012	c0012	sb0003	4	100	0.9535582324876901	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.437	0.5340486830987432
p01-s01-c0012	c0012	sb0003	5	100	0.9536010657962578	100	100	0.9090909090909091	0.8181818181818181	100000000	0.1	3.382	0.5337579806957696
p01-s01-c0013	c0013	sb0001	0	100	0.9549670784452735								
p01-s01-c0013	c0013	sb0001	1	117	0.9555665009359121	120	117	0.5	0.45	100000000	0.1	4.563	0.5400608200144548
p01-s01-c0013	c0013	sb0001	2	131	0.9558432772504101	138	131	0.5	0.45	100000000	0.1	4.608	0.5460489512245226
p01-s01-c0013	c0013	sb0001	3	134	0.9555943559267318	137	134	0.5	0.45	100000000	0.1	4.526	0.5369756146702918
p01-s01-c0013	c0013	sb0001	4	145	0.9548138309518003	148	145	0.5	0.45	100000000	0.1	4.541	0.5317193519290611
p01-s01-c0013	c0013	sb0001	5	150	0.9540877350825904	152	150	0.5	0.45	100000000	0.1	4.545	0.5202920708594984
