run_id	cell_id	cell	seed_block_id	master_seed	H	f	e	R	alpha	u	m	richness	shannon	simpson	hill_q1	hill_q2	evenness	gene_diversity	top_frequency	richness_change_pct	hill_q1_change_pct	hill_q2_change_pct	evenness_change	total_variation	jensen_shannon	original_strains_lost	original_strains_retained	final_mutant_richness	mutant_abundance_fraction	generated_mutant_lineages	maximum_mutants_in_one_transition	adult_mutant_lineages	released_mutant_lineages	root_richness	root_hill_q1	root_hill_q2	root_evenness	root_total_variation	infection_richness_g5	pooled_adult_richness_g5	release_richness_g5	median_original_occupancy_hosts_g5	median_original_occupancy_fraction_g5	original_strains_in_pooled_adults_g5	migration_total_emigrants	migration_total_immigrants	migration_emigrant_richness_g5	migration_immigrant_richness_g5	migration_sample_tv_g5	post_return_richness_g5	post_migration_richness_g5	migration_richness_change_g5	realized_host_feedback_g5	expected_host_feedback_after_migration_g5	realized_migration_fraction	elapsed_minutes	output_mib	peak_rss_mib
p01-s01-c0004-v210-m010-sb0002	p01-s01-c0004	c0004	sb0002	667	1000	0.001	1000000	1000000000	0.5	0.0	0.1	100	3.5069863860494035	0.9546308429228397	33.34761935146103	22.041405757203698	0.7615324177855415	0.9546308429228397	0.089954149	0.0	-2.5718806505939162	-0.7411103579949452	-0.005657840268036174	0.05783456500000001	0.004242994773312719	0	100	0	0.0	0	0	0	0	100	33.34761935146103	22.041405757203698	0.7615324177855415	0.05783456500000001	94	86	86	10.5	0.0105	86	500000000	500000000	100	100	0.06434829	100	100	0	0.5	0.45	0.1	0.34204639699989153	1.1000280380249023	96.41796875
p01-s01-c0004-v210-m010-sb0003	p01-s01-c0004	c0004	sb0003	668	1000	0.001	1000000	1000000000	0.5	0.0	0.1	100	3.481144690820409	0.9529243535656379	32.49689969613785	21.242406121694057	0.7559209649650526	0.9529243535656379	0.097427546	0.0	-5.057335916175887	-4.339239148811014	-0.01126929308852509	0.056358169	0.003907299921084618	0	100	0	0.0	0	0	0	0	100	32.49689969613785	21.242406121694057	0.7559209649650526	0.056358169	90	80	80	12.0	0.012	80	500000000	500000000	100	100	0.06242987	100	100	0	0.5	0.45	0.1	0.3419127197169776	1.1004266738891602	96.49609375
p01-s01-c0005-v210-m010-sb0001	p01-s01-c0005	c0005	sb0001	666	10000	0.0001	100000	1000000000	0.5	0.0	0.1	100	3.5404258069009766	0.9551956355402984	34.481598567972505	22.319254207911595	0.7687936957624809	0.9551956355402984	0.094079741	0.0	0.7411433251696131	0.5101223904881547	0.0016034377089032548	0.017951914000000003	0.00042279030432483707	0	100	0	0.0	0	0	0	0	100	34.481598567972505	22.319254207911595	0.7687936957624809	0.017951914000000003	100	100	100	92.0	0.0092	100	500000000	500000000	100	100	0.01995384	100	100	0	0.5	0.45	0.1	3.266062428417111	10.775200843811035	97.76953125
p01-s01-c0005-v210-m010-sb0002	p01-s01-c0005	c0005	sb0002	667	10000	0.0001	100000	1000000000	0.5	0.0	0.1	100	3.5251291586667732	0.9546708620302704	33.958159323599695	22.06086514744208	0.765472070802616	0.9546708620302704	0.093634595	0.0	-0.7881322922421163	-0.6534790385841593	-0.0017181872509616225	0.018077649000000008	0.0005022971298994149	0	100	0	0.0	0	0	0	0	100	33.958159323599695	22.06086514744208	0.765472070802616	0.018077649000000008	100	100	100	86.0	0.0086	100	500000000	500000000	100	100	0.02009808	100	100	0	0.5	0.45	0.1	3.133256226600497	10.778182029724121	98.1484375
p01-s01-c0005-v210-m010-sb0003	p01-s01-c0005	c0005	sb0003	668	10000	0.0001	100000	1000000000	0.5	0.0	0.1	100	3.53313276422247	0.9552057290715289	34.23103758454465	22.324283424477034	0.7672100316667008	0.9552057290715289	0.091613437	0.0	0.00910649997885038	0.5327704219954654	1.9773613123108547e-05	0.01647079400000001	0.00034092333774534724	0	100	0	0.0	0	0	0	0	100	34.23103758454465	22.324283424477034	0.7672100316667008	0.01647079400000001	100	100	100	85.0	0.0085	100	500000000	500000000	100	100	0.01839827	100	100	0	0.5	0.45	0.1	3.1963125478835233	10.78123950958252	98.46484375
p01-s01-c0006-v210-m010-sb0001	p01-s01-c0006	c0006	sb0001	666	100000	1e-05	10000	1000000000	0.5	0.0	0.1	100	3.5325004261650212	0.9549320762587685	34.20939883895619	22.188730187388792	0.7670727212021771	0.9549320762587685	0.093790566	0.0	-0.05411307397468201	-0.0776654072329297	-0.00011753685140059034	0.004175157000000003	3.558514130824159e-05	0	100	0	0.0	0	0	0	0	100	34.20939883895619	22.188730187388792	0.7670727212021771	0.004175157000000003	100	100	100	844.0	0.00844	100	500000000	500000000	100	100	0.00460846	100	100	0	0.5	0.45	0.1	31.847284988033547	111.48185062408447	102.92578125
p01-s01-c0006-v210-m010-sb0002	p01-s01-c0006	c0006	sb0002	667	100000	1e-05	10000	1000000000	0.5	0.0	0.1	100	3.535789152176072	0.9549908417590429	34.322089381330144	22.217700554329152	0.7677868589817225	0.9549908417590429	0.093515072	0.0	0.27512265035829486	0.05279661895074561	0.0005966009281448414	0.004045342000000012	3.622569690277782e-05	0	100	0	0.0	0	0	0	0	100	34.322089381330144	22.217700554329152	0.7677868589817225	0.004045342000000012	100	100	100	811.0	0.00811	100	500000000	500000000	100	100	0.00464225	100	100	0	0.5	0.45	0.1	31.233046883683226	111.53138065338135	102.60546875
p01-s01-c0006-v210-m010-sb0003	p01-s01-c0006	c0006	sb0003	668	100000	1e-05	10000	1000000000	0.5	0.0	0.1	100	3.532903193957282	0.9550052396107832	34.22318005813043	22.22480998564567	0.7671601811170106	0.9550052396107832	0.093683466	0.0	-0.01384998195790299	0.0848124652283122	-3.007693656709165e-05	0.004624311000000005	3.4145622700744707e-05	0	100	0	0.0	0	0	0	0	100	34.22318005813043	22.22480998564567	0.7671601811170106	0.004624311000000005	100	100	100	881.5	0.008815	100	500000000	500000000	100	100	0.00515506	100	100	0	0.5	0.45	0.1	31.53993686261723	111.54376888275146	101.4296875
p01-s01-c0007-v210-m010-sb0001	p01-s01-c0007	c0007	sb0001	666	100	0.01	10000000	1000000000	0.5	1e-12	0.1	101	3.3886856703247905	0.9501556711787227	29.62698704114434	20.062462945094865	0.7342572437618852	0.9501556711787227	0.094885946	1.0000000000000009	-13.442048171829857	-9.652867999893633	-0.032933014291692486	0.13748639899999998	0.020781533096632603	0	100	1	2e-09	264	1	7	2	100	29.626985989080463	20.062462884206724	0.7358437360523704	0.137486397	64	52	51	3.0	0.03	49	500000000	500000000	102	100	0.15287022	102	101	-1	0.5	0.45	0.1	0.10304592790004487	0.17757415771484375	96.125
p01-s01-c0007-v210-m010-sb0002	p01-s01-c0007	c0007	sb0002	667	100	0.01	10000000	1000000000	0.5	1e-12	0.1	101	3.485436268105428	0.9567597603964801	32.63666233929161	23.126606354850015	0.7552210728596477	0.9567597603964801	0.095319341	1.0000000000000009	-4.649006573854287	4.145864980499936	-0.011969185193929976	0.15165304300000004	0.02373807146913857	0	100	1	1e-09	258	2	5	4	100	32.63666174737952	23.12660632523547	0.7568528651935523	0.15165304300000002	63	53	53	4.0	0.04	52	500000000	500000000	100	100	0.16854513	101	101	0	0.5	0.45	0.1	0.06853561906706697	0.17946910858154297	95.0546875
