run_id	cell_id	cell	seed_block_id	generation	D0	shannon	simpson	D1	D2	evenness	TV	root_D0	root_D1	root_D2	mutant_richness	mutant_abundance_fraction	H	f	alpha	u	m	source_role	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd
p01-s02-c0022-v210-m010-g250-sb0009	p01-s02-c0022	c0022	sb0009	100	100	3.2667884897569035	0.9391484450633409	26.226975747240875	16.43343380528088	0.7093741073232404	0.177277132	100	26.226975747240875	16.43343380528088	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	30.481685169610262	1.9164100172524214	20.78646829084516	1.9459802026388437	0.7415825223536763	0.014052271482317276	0.17053275652	0.015300666737756395
p01-s02-c0022-v210-m010-g250-sb0010	p01-s02-c0022	c0022	sb0010	100	100	3.3336491605697702	0.9486194113068921	28.040479443329644	19.462603007001707	0.7238927175184293	0.152436045	100	28.040479443329644	19.462603007001707	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	31.281510433454713	2.438700517941527	21.899123906253926	1.9926367298858578	0.7470206441934547	0.016472578257697504	0.17707699176	0.016037137078083574
p01-s02-c0022-v210-m010-g250-sb0011	p01-s02-c0022	c0022	sb0011	100	100	3.4299053630111693	0.9521034134013177	30.873720815445722	20.878314531656226	0.7447944863030602	0.186309885	100	30.873720815445722	20.878314531656226	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	29.11126750868249	1.3720837522460578	19.116402535789177	1.3912482675426807	0.7317947620651278	0.010217229276779198	0.18839845893999999	0.021099185890988897
p01-s02-c0022-v210-m010-g250-sb0012	p01-s02-c0022	c0022	sb0012	100	100	3.4135206921550645	0.9527334144710015	30.371986660744362	21.156594850425357	0.7412366002327566	0.16561923800000003	100	30.371986660744362	21.156594850425357	0	0.0	100	1e-2	0.5	0	0.1	supplementary-reference	100.0	0.0	29.70075976358125	1.447989503738339	20.032701273210765	1.4748186824555674	0.7361340098460407	0.010490652165386038	0.18994245814	0.010626782087689465
p01-s02-c0023-v210-m010-g250-sb0001	p01-s02-c0023	c0023	sb0001	100	137	3.3606478945667813	0.9514924141640769	28.807849283281985	20.615332277769905	0.6830611632912218	0.193281117	100	28.807825504988653	20.615330331670236	37	4.5e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	136.62	4.266097963799553	32.48278277027814	1.5585318660371281	23.055220622944667	1.4160428964770233	0.7077346502510495	0.010989206330648614	0.18471785338	0.028081670788534994
p01-s02-c0023-v210-m010-g250-sb0002	p01-s02-c0023	c0023	sb0002	100	132	3.358122980389094	0.9497268269881266	28.735203686740412	19.8913245393089	0.6877450762144229	0.162388508	100	28.735181637528814	19.891322534536975	32	4.2e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	137.66	6.560892174273937	29.233751691583485	1.3269662831921951	20.181986644703457	0.9807409986061055	0.6853779340062635	0.011047868539005468	0.16695856518	0.015388358306590147
p01-s02-c0023-v210-m010-g250-sb0003	p01-s02-c0023	c0023	sb0003	100	139	3.4854860505608434	0.9561991384050349	32.6382871129217	22.830601124863502	0.706354131725946	0.20105005399999998	100	32.6382566865701	22.830598537781736	39	5.2e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	134.62	5.201608856294133	29.386380185958092	1.6309886538950025	19.990298970131388	1.4178908866649855	0.6894176855566468	0.0136742397040634	0.18280580364	0.012226613121679967
p01-s02-c0023-v210-m010-g250-sb0004	p01-s02-c0023	c0023	sb0004	100	128	3.3476493584489546	0.9471853827320907	28.43581261823192	18.934152167142788	0.6899481611527752	0.179983762	100	28.435796219348347	18.934150923332325	28	3.2e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	136.78	5.16775718138094	28.57188241665257	1.1284732586092319	19.058825854905983	0.9328100333368271	0.6815823638493456	0.008706897202259868	0.17709065148	0.016322007788445333
p01-s02-c0023-v210-m010-g250-sb0005	p01-s02-c0023	c0023	sb0005	100	144	3.3118213820173654	0.9465567773379836	27.43504969872383	18.71144646953949	0.6663874842742912	0.180471349	100	27.435012952568826	18.711443813763516	44	7.7e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	136.34	4.479477010289737	29.0780959619879	1.195381973495413	19.72422619087551	1.1092900843755138	0.6855753115922633	0.010299694789934841	0.17023907404	0.01613427604555505
p01-s02-c0023-v210-m010-g250-sb0006	p01-s02-c0023	c0023	sb0006	100	130	3.3514018378307586	0.9484930404613061	28.542717873223975	19.414852069626885	0.6885214417983381	0.12379342	100	28.542697563976354	19.41485069931524	30	4e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	135.14	5.935056693847471	31.932055275948255	2.444682316284538	22.34046948841391	2.2538417634211396	0.7055744056627015	0.01696606213138659	0.16994745015999999	0.02071366198101018
p01-s02-c0023-v210-m010-g250-sb0007	p01-s02-c0023	c0023	sb0007	100	134	3.4177308804532553	0.9511967985469233	30.500128003885234	20.49045903190348	0.6978037298172778	0.158414012	100	30.500105513479156	20.490457322365895	34	4.1e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	137.62	5.823562273301489	30.417499525152035	1.6052188128585334	21.233487889202095	1.4120037968085013	0.6933575809507292	0.01159110899344537	0.18414685324000002	0.02061919364760689
p01-s02-c0023-v210-m010-g250-sb0008	p01-s02-c0023	c0023	sb0008	100	135	3.3206897211352073	0.9461740098882733	27.679435067642288	18.578385607478783	0.67696303899867	0.18824696000000002	100	27.679411021346905	18.578384162434734	35	4.9e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	137.76	4.359179851714292	29.756076462627703	1.4305822666905732	20.25112686271046	1.119066825520317	0.6887119632329004	0.009320381980274323	0.16968930264	0.020055070697743885
p01-s02-c0023-v210-m010-g250-sb0009	p01-s02-c0023	c0023	sb0009	100	134	3.3948144815637162	0.9538061993288309	29.80912282008214	21.647926463520673	0.6931248510001778	0.18813601699999996	100	29.809098232039183	21.647924316383527	34	4.6e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	134.9	5.319390789117391	30.08586623665279	1.9092474906142567	20.82821956012455	1.630613608765921	0.6938340094580708	0.015033563385498945	0.1992112041	0.02856115344168733
p01-s02-c0023-v210-m010-g250-sb0010	p01-s02-c0023	c0023	sb0010	100	139	3.2799247796187565	0.9455301037937662	26.573773735302016	18.35876455893735	0.6646959380202457	0.158583598	100	26.573750526202495	18.358762463411818	39	4.7e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	134.08	6.203488156361907	29.24807169654236	1.6998799282615127	20.27299788515789	1.5124036308803714	0.6890535225009344	0.01490931276301179	0.18264425528	0.02022246749540025
p01-s02-c0023-v210-m010-g250-sb0011	p01-s02-c0023	c0023	sb0011	100	139	3.380642010052922	0.9491966335854525	29.389633497878616	19.683734968272713	0.6851068737753092	0.15695426499999998	100	29.389607659041022	19.683733150541098	39	4.9e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	135.82	5.11775620476675	30.384797303678397	1.4415946170922853	21.331546452673777	1.446364446116654	0.6950100623435721	0.009275271684304788	0.18731988074	0.019700811866365305
p01-s02-c0023-v210-m010-g250-sb0012	p01-s02-c0023	c0023	sb0012	100	143	3.3176666094053457	0.9421777964132902	27.595883399460394	17.29439450539805	0.6685010022632116	0.198673699	100	27.59585364675792	17.29439254456875	43	6e-08	100	1e-2	0.5	1e-10	0.1	supplementary-reference	134.96	4.915448367449426	30.1647430415941	1.6769143273129261	20.178112765977897	1.4695632749898127	0.6943400520355195	0.011528590805859435	0.18503868782000002	0.020854978334426146
p01-s02-c0024-v210-m010-g250-sb0001	p01-s02-c0024	c0024	sb0001	100	100	3.5271715867928704	0.9547582725902076	34.0275873000036	22.103488466347848	0.7659155784350401	0.017880115	100	34.0275873000036	22.103488466347848	0	0.0	10000	1e-4	0.5	0	0.1	supplementary-reference	100.0	0.0	34.17956082461749	0.22267452517446348	22.247134001769144	0.16294113467545	0.7668787269164864	0.0014137690107343713	0.018996035199999997	0.001858864010186723
p01-s02-c0024-v210-m010-g250-sb0002	p01-s02-c0024	c0024	sb0002	100	100	3.5339855781699	0.9551998732514378	34.26024274234465	22.321365419621173	0.7673952178624301	0.022569954000000007	100	34.26024274234465	22.321365419621173	0	0.0	10000	1e-4	0.5	0	0.1	supplementary-reference	100.0	0.0	34.15528872123207	0.21889150936963722	22.19697710120487	0.15553864598174302	0.7667246088677594	0.001391984417106158	0.01952824234	0.0016073348544614714
p01-s02-c0024-v210-m010-g250-sb0003	p01-s02-c0024	c0024	sb0003	100	100	3.523708794489138	0.9541471241258941	33.909960608525324	21.808882887642834	0.7651636426402961	0.019727493999999995	100	33.909960608525324	21.808882887642834	0	0.0	10000	1e-4	0.5	0	0.1	supplementary-reference	100.0	0.0	34.30768796944524	0.2132563428176215	22.23068777857848	0.1756062822710302	0.7676916041954327	0.0013523351708792897	0.02088351518	0.001234304550901481
p01-s02-c0024-v210-m010-g250-sb0004	p01-s02-c0024	c0024	sb0004	100	100	3.538322228688336	0.9554655395007167	34.409140066269956	22.454521482663818	0.76833690955748	0.021300894000000004	100	34.409140066269956	22.454521482663818	0	0.0	10000	1e-4	0.5	0	0.1	supplementary-reference	100.0	0.0	34.34210627776818	0.1929028536865576	22.28630417850957	0.15812534829156552	0.7679101173103535	0.0012168663900825715	0.020021768899999993	0.0022632178782843967
p01-s02-c0024-v210-m010-g250-sb0005	p01-s02-c0024	c0024	sb0005	100	100	3.543453423450874	0.9551314012564128	34.58615382320757	22.287301765645722	0.7694511343429505	0.02198511700000001	100	34.58615382320757	22.287301765645722	0	0.0	10000	1e-4	0.5	0	0.1	supplementary-reference	100.0	0.0	34.20730985587797	0.3008817544368077	22.19847048912375	0.17231754033425278	0.76705122477305	0.0019106949387697981	0.01926998308	0.0019308193439495334
