cell_id	seed_block_id	response	window	start_generation	end_generation	mean	median	sd	cv	q05	q95	lag1_autocorrelation	integrated_autocorrelation_time
p01-s02-c0021	sb0003	TV	1	51	100	9.365317999999777e-05	9.409200000000157e-05	7.374825927215734e-06	0.07874613469842572	8.13137499999902e-05	0.00010447479999999728	0.6534726369193476	4.195874805981978
p01-s02-c0021	sb0003	TV	2	101	150	9.074337999999989e-05	9.154249999999732e-05	7.932469147182357e-06	0.08741650517296543	7.421710000000517e-05	0.00010307499999999654	0.709160228279081	4.316664699227906
p01-s02-c0021	sb0003	TV	3	151	200	8.687351999999371e-05	8.755299999999311e-05	8.513788030134337e-06	0.09800210731802916	7.358184999999088e-05	0.00010089269999999728	0.7715953410694986	9.48894233380988
p01-s02-c0021	sb0003	TV	4	201	250	8.823460000000195e-05	8.698099999999737e-05	8.793445541410528e-06	0.09965983346000701	7.5206349999998e-05	0.00010133469999999582	0.7425992763201298	12.873808958237369
p01-s02-c0021	sb0004	D0	1	51	100	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0004	D0	2	101	150	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0004	D0	3	151	200	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0004	D0	4	201	250	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0004	D1	1	51	100	34.228331120661835	34.22838061739099	0.0012712871573557565	3.714137136497279e-05	34.226123210243514	34.23014292540373	0.8905538396301352	6.810449753424464
p01-s02-c0021	sb0004	D1	2	101	150	34.22880560773748	34.228828826778184	0.000795953175846928	2.325389863054414e-05	34.22751013964524	34.23025035722197	0.7987653651288008	3.581175690204346
p01-s02-c0021	sb0004	D1	3	151	200	34.22770710748679	34.22764781779239	0.0008507754419042565	2.4856337563966187e-05	34.226512135182176	34.22880922796958	0.7756113881130412	6.044751782184292
p01-s02-c0021	sb0004	D1	4	201	250	34.22802397745776	34.227889337151154	0.0009626695277261114	2.812518561866487e-05	34.226656752881404	34.22986421135439	0.8669775039151761	8.259577158586334
p01-s02-c0021	sb0004	D2	1	51	100	22.20650622848325	22.20647354184563	0.0009504160736302202	4.279899160414374e-05	22.20489324856365	22.208016012991827	0.8731876506131017	6.359109102372507
