cell_id	response	assessment_end_generation	window_generations	previous_assessment_equivalent	current_assessment_equivalent	largest_previous_ci_to_margin_ratio	largest_current_ci_to_margin_ratio	equivalence_margin	rank_normalized_split_rhat	approximate_combined_ess	stationarity_screen_pass	full_equilibrium_status
p01-s02-c0022	evenness	250	20	True	True	0.9170329678699873	0.9170329678699873	0.02	1.3493695141323205	115.67820572077575	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	250	20	True	True	0.5498074483629051	0.5170432888920125	0.05	1.143009072985252	136.2568810619152	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	80	20	False	True	1.6589749475222704	0.9555073626010796	6.756875000000001	1.017909683728894	279.26932368970216	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	80	20	False	False	1.9154947756545542	1.527276983917638	1.5248442366272983	1.3693354645714662	89.63306902873059	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	80	20	False	False	2.169819697313898	2.169819697313898	1.053061714644124	1.3469253516971085	99.5681183122143	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	80	20	False	True	1.5691216197801205	0.7357721855546803	0.02	1.314972646022344	106.35689170985502	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	80	20	False	True	1.7030619734502852	0.5001969206199515	0.05	1.1845748042320403	134.74881391421258	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	100	20	True	True	0.9555073626010796	0.9555073626010796	6.815833333333334	1.0349122981992303	274.414384187299	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	100	20	False	False	1.527276983917638	1.7856069996349109	1.5063692090858787	1.2308952384547514	105.70003155870148	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	100	20	False	False	2.169819697313898	2.1119981046284177	1.0428527861443522	1.2746543573964715	126.20741006318207	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	100	20	True	True	0.7357721855546803	0.8299177423944392	0.02	1.197082678033047	121.96468529661502	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	100	20	True	True	0.5001969206199515	0.5001969206199515	0.05	1.1787376536365777	119.9480543743649	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	120	20	True	True	0.9555073626010796	0.7842285295350624	6.817083333333334	1.0423317266582457	299.18719970164653	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	120	20	False	False	1.7856069996349109	1.7856069996349109	1.490519674351206	1.275674930810249	111.80157412603597	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	120	20	False	False	2.1119981046284177	2.1119981046284177	1.0201565818429736	1.3530830656656818	121.77426999108562	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	120	20	True	True	0.8299177423944392	0.8299177423944392	0.02	1.2745244864347542	131.97762996576225	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	120	20	True	True	0.5001969206199515	0.5001969206199515	0.05	1.1293800322917416	121.41054233535141	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	140	20	True	True	0.7842285295350624	0.7412208673666275	6.796458333333334	1.0244254392536556	318.2501473705936	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	140	20	False	False	1.7856069996349109	1.7856069996349109	1.5015084586685852	1.275534947146214	122.40404438240283	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	140	20	False	False	2.1119981046284177	2.1119981046284177	1.038110713737848	1.3181132143211178	130.55937725208614	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	140	20	True	True	0.8299177423944392	0.8299177423944392	0.02	1.2296039764811535	169.79594798625965	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	140	20	True	True	0.5001969206199515	0.5608972497066397	0.05	1.1852501914690732	135.08196997792686	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	160	20	True	True	0.7412208673666275	0.7030590561314118	6.772500000000001	1.0511132835629269	332.4336712377948	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	160	20	False	False	1.7856069996349109	1.572250649041741	1.470332930873291	1.3495689520387153	108.8368481486064	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	160	20	False	False	2.1119981046284177	1.9865385843144694	1.0150803451681467	1.440108706352183	95.59273960035601	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	160	20	True	True	0.8299177423944392	0.7371888060555992	0.02	1.29746272615613	122.98603992784255	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	160	20	True	True	0.5608972497066397	0.5608972497066397	0.05	1.235878077575624	146.52563945391546	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	180	20	True	False	0.7030590561314118	1.1761325390227626	6.8275	1.0245774738934668	279.29166045429264	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	180	20	False	False	1.572250649041741	1.345538196951144	1.4858335770127482	1.4650020137173398	107.79011069165487	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	180	20	False	False	1.9865385843144694	1.9800943791081151	1.023943853785731	1.3890039764584052	97.88835368341648	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	180	20	True	True	0.7371888060555992	0.8614390105458658	0.02	1.3453979510910468	111.82218100910848	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	180	20	True	True	0.5608972497066397	0.5608972497066397	0.05	1.2991184193011647	169.5877376344486	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	200	20	False	False	1.1761325390227626	1.1761325390227626	6.776875	1.0531161404272744	279.000070997878	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	200	20	False	False	1.345538196951144	1.3507244805850565	1.531489688055598	1.2379577410694163	117.23564247697875	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	200	20	False	False	1.9800943791081151	1.9800943791081151	1.067665659113913	1.2097542365151237	100.37093106404389	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	200	20	True	True	0.8614390105458658	0.8614390105458658	0.02	1.213448411838482	120.95259254332379	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	200	20	True	True	0.5608972497066397	0.3882111751696472	0.05	1.321247912287663	173.03588427860151	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	220	20	False	False	1.1761325390227626	1.1761325390227626	6.7700000000000005	1.0300482981664394	299.42685689714904	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	220	20	False	False	1.3507244805850565	1.6468613792231759	1.5201127404696189	1.3604994867272233	98.84464565254932	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	220	20	False	False	1.9800943791081151	2.165327888750943	1.0540494511628495	1.2538429165902396	90.3637636619771	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	220	20	True	False	0.8614390105458658	1.044412195985386	0.02	1.3039687427247273	105.69989581950728	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	220	20	True	True	0.3882111751696472	0.4770633776492225	0.05	1.1202547332196409	166.6679097790243	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	240	20	False	True	1.1761325390227626	0.7239587971483973	6.79375	1.0352752701269692	299.1337552460033	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	240	20	False	False	1.6468613792231759	1.6468613792231759	1.4976636129779972	1.3040784151165534	100.14676872600562	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	240	20	False	False	2.165327888750943	2.165327888750943	1.0292147830108505	1.3418560045925145	82.45712197171098	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	240	20	False	False	1.044412195985386	1.044412195985386	0.02	1.2344552322144964	107.18394149716039	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	240	20	True	True	0.4770633776492225	0.5857039167718426	0.05	1.1475957702882351	129.23927017526157	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D0	250	20	True	True	0.5938510076122244	0.8379754334603962	6.792916666666668	1.019975937877994	335.9794825047815	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D1	250	20	False	False	1.646271587323691	2.086689543085177	1.4762445348975983	1.2521184153079004	90.03901103961894	False	not established: contrasting initial conditions not tested
p01-s02-c0023	D2	250	20	False	False	2.281922582448752	2.281922582448752	1.0138714762275034	1.286403442567842	91.99759776395751	False	not established: contrasting initial conditions not tested
p01-s02-c0023	evenness	250	20	True	True	0.8943910316879449	0.9035250906575674	0.02	1.219436110535544	95.98191879275132	False	not established: contrasting initial conditions not tested
p01-s02-c0023	TV	250	20	True	True	0.5507234652827787	0.6751075312594503	0.05	1.1003442870488491	128.40800518210466	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	80	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	80	20	True	True	0.14357903994916407	0.15361861116857772	1.7099799805510305	1.1485963667543773	115.13972435197866	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	80	20	True	True	0.2289837059687551	0.2289837059687551	1.110592885268958	1.111099876051065	115.56045358471604	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	80	20	True	True	0.07798392014246766	0.08340077026277795	0.02	1.1485963667543773	115.1815457023841	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	80	20	True	True	0.22300911042871713	0.04740697238446374	0.05	1.0843840456678508	166.93207797803552	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	100	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	100	20	True	True	0.15361861116857772	0.15616633612322167	1.7086324991090192	1.2495834170849487	92.75719165144841	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	100	20	True	True	0.2289837059687551	0.21834493677858743	1.1106586699692071	1.1667946892688457	90.41987892704049	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	100	20	True	True	0.08340077026277795	0.08494824761245141	0.02	1.2495834170849487	92.74647827873278	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	100	20	True	True	0.04740697238446374	0.06055808061814031	0.05	1.0690081463377246	180.49525615720142	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	120	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	120	20	True	True	0.15616633612322167	0.20831610034828993	1.710049938666732	1.2809055763208952	78.29336634439306	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	120	20	True	True	0.21834493677858743	0.2751429485830386	1.110055688482242	1.2449475531591283	77.86283422649558	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	120	20	True	True	0.08494824761245141	0.11303901180373895	0.02	1.2809055763208952	78.30728337184887	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	120	20	True	True	0.06055808061814031	0.06055808061814031	0.05	1.1000284158699702	162.8134299901814	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	140	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	140	20	True	True	0.20831610034828993	0.20831610034828993	1.7044779042029596	1.284421529643744	97.4144912158163	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	140	20	True	True	0.2751429485830386	0.2751429485830386	1.1054380784268962	1.1950138440228253	102.2093123087743	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	140	20	True	True	0.11303901180373895	0.11303901180373895	0.02	1.284421529643744	97.4398834129567	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	140	20	True	True	0.06055808061814031	0.06055808061814031	0.05	1.1073384022932935	168.5922393637568	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	160	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	160	20	True	True	0.20831610034828993	0.20831610034828993	1.707057072722864	1.3675306674519327	90.5122394337902	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	160	20	True	True	0.2751429485830386	0.2751429485830386	1.1085557157417605	1.3303866240688815	90.91203772569574	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	160	20	True	True	0.11303901180373895	0.11303901180373895	0.02	1.3675306674519327	90.5557678387516	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	160	20	True	True	0.06055808061814031	0.04014875641291143	0.05	1.1825235650717383	146.2261861057745	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	180	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	180	20	True	True	0.20831610034828993	0.20166424135048877	1.710241967563302	1.3145856894428096	101.70521681062306	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	180	20	True	True	0.2751429485830386	0.25069274107368705	1.1089052791272096	1.378611758185986	107.855375529706	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	180	20	True	True	0.11303901180373895	0.10941564202896982	0.02	1.3145856894428096	101.7105397376903	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	180	20	True	True	0.04014875641291143	0.04014875641291143	0.05	1.1762054165194842	142.61836552358918	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	200	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0024	D1	200	20	True	True	0.20166424135048877	0.20166424135048877	1.7058955103907705	1.4235713025891519	98.22767796317324	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D2	200	20	True	True	0.25069274107368705	0.20682422960977132	1.1085313393082283	1.4225027602390736	106.19103293554562	False	not established: contrasting initial conditions not tested
p01-s02-c0024	evenness	200	20	True	True	0.10941564202896982	0.10941564202896982	0.02	1.4235713025891519	98.23503990593494	False	not established: contrasting initial conditions not tested
p01-s02-c0024	TV	200	20	True	True	0.04014875641291143	0.039162151784773516	0.05	1.1150323768006647	168.99443101050332	False	not established: contrasting initial conditions not tested
p01-s02-c0024	D0	220	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
