run_id	cell_id	cell	seed_block_id	generation	feedback_exposure	D0	shannon	D1	D2	evenness	top_frequency	TV	jensen_shannon	turnover	mutant_richness	mutant_abundance_fraction	root_D0	root_D1	root_D2	root_evenness	mean_adult_richness	mean_adult_gene_diversity	realized_host_feedback	expected_host_feedback_after_migration
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	22	0.0	100	3.532979017470441	34.22577507825445	22.20441622241424	0.7671766459836924	0.093453557	9.246800000001218e-05	1.4105765686944781e-08	4.319799999998484e-05	0	0.0	100	34.22577507825445	22.20441622241424	0.7671766459836924	3.28	0.5029915774896828	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	23	0.0	100	3.5329829983948655	34.2259113287496	22.204267571372476	0.7671775104304476	0.093461265	9.020800000000359e-05	1.2987745999920976e-08	5.282200000000689e-05	0	0.0	100	34.2259113287496	22.204267571372476	0.7671775104304476	3.3	0.5318969612282818	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	24	0.0	100	3.5329919744929206	34.226218545264516	22.20470910167215	0.7671794595653747	0.093454549	9.191500000000819e-05	1.3146911563259307e-08	4.325799999999714e-05	0	0.0	100	34.226218545264516	22.20470910167215	0.7671794595653747	3.13	0.4911060042707054	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	25	0.0	100	3.5330016245921065	34.22654883326189	22.20510632629036	0.7671815550577878	0.09344342	7.406900000001625e-05	1.2902127946812002e-08	5.553899999998695e-05	0	0.0	100	34.22654883326189	22.20510632629036	0.7671815550577878	3.41	0.5254206506709144	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	26	0.0	100	3.5330241302129557	34.22731913166089	22.205558022138668	0.7671864420912612	0.093441306	7.582000000001403e-05	1.1902834812686877e-08	3.926900000000434e-05	0	0.0	100	34.22731913166089	22.205558022138668	0.7671864420912612	3.32	0.517075523362644	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	27	0.0	100	3.533044035841658	34.22800045474806	22.206199984624988	0.7671907645436132	0.093440453	7.653000000000168e-05	1.2144261204199659e-08	4.785499999999845e-05	0	0.0	100	34.22800045474806	22.206199984624988	0.7671907645436132	3.42	0.5274229062000234	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	28	0.0	100	3.5330427333466483	34.22795587297731	22.206086108813796	0.7671904817104156	0.093447619	7.648000000000726e-05	1.0672644288533182e-08	4.0271999999986905e-05	0	0.0	100	34.22795587297731	22.206086108813796	0.7671904817104156	3.48	0.5312517152097878	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	29	0.0	100	3.533058398798918	34.22849207358623	22.206485387656844	0.7671938834201542	0.093451224	8.879400000001532e-05	1.1773802401120744e-08	4.275399999999983e-05	0	0.0	100	34.22849207358623	22.206485387656844	0.7671938834201542	3.33	0.5270407894086856	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	30	0.0	100	3.533062183248464	34.228621609832636	22.206645617911185	0.7671947052029316	0.093448046	9.529800000000817e-05	1.213099768601162e-08	3.436599999998924e-05	0	0.0	100	34.228621609832636	22.206645617911185	0.7671947052029316	3.47	0.52315546380581	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	31	0.0	100	3.533057814695679	34.22847208061898	22.206336788949372	0.7671937565837474	0.093446064	9.098199999999664e-05	1.2112453910209824e-08	3.721500000001399e-05	0	0.0	100	34.22847208061898	22.206336788949372	0.7671937565837474	3.32	0.5329943719779857	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	32	0.0	100	3.5330320509521793	34.22759023840374	22.205467895876566	0.76718816205793	0.093444219	8.626099999999281e-05	1.3168834655045327e-08	4.974400000000946e-05	0	0.0	100	34.22759023840374	22.205467895876566	0.76718816205793	3.45	0.5410087438969963	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	33	0.0	100	3.533051731240068	34.22826385386182	22.206076180554618	0.7671924355781461	0.093439483	8.548800000000102e-05	1.3033213291281594e-08	4.5990999999987044e-05	0	0.0	100	34.22826385386182	22.206076180554618	0.7671924355781461	3.11	0.47138242678989534	0.0	0.0
