run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	source_role	source_run_id	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd	TV_51_75_mean	TV_76_100_mean	TV_late_change
p01-s03-c0053-v210-adaptive-g1000-sb0009-reused	p01-s03-c0053	c0053	sb0009	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0009	100.0	0.0	30.481685169610262	1.9164100172524214	20.78646829084516	1.9459802026388437	0.7415825223536763	0.014052271482317276	0.17053275652	0.015300666737756395	0.16652169072	0.17454382232	0.00802213160000001
p01-s03-c0053-v210-adaptive-g1000-sb0010-reused	p01-s03-c0053	c0053	sb0010	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0010	100.0	0.0	31.281510433454713	2.438700517941527	21.899123906253926	1.9926367298858578	0.7470206441934547	0.016472578257697504	0.17707699176	0.016037137078083574	0.17939676104	0.17475722248	-0.004639538559999989
p01-s03-c0053-v210-adaptive-g1000-sb0011-reused	p01-s03-c0053	c0053	sb0011	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0011	100.0	0.0	29.11126750868249	1.3720837522460578	19.116402535789177	1.3912482675426807	0.7317947620651278	0.010217229276779198	0.18839845893999999	0.021099185890988897	0.17701185415999998	0.19978506372000002	0.022773209560000035
p01-s03-c0053-v210-adaptive-g1000-sb0012-reused	p01-s03-c0053	c0053	sb0012	H-by-B	100	10	1000	0.5	0.5	0.1	reused-passage-100	p01-s02-c0022-v210-m010-g250-sb0012	100.0	0.0	29.70075976358125	1.447989503738339	20.032701273210765	1.4748186824555674	0.7361340098460407	0.010490652165386038	0.18994245814	0.010626782087689465	0.18460755276000002	0.19527736351999997	0.010669810759999954
p01-s03-c0054-v210-adaptive-g1000-sb0001	p01-s03-c0054	c0054	sb0001	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0001	100.0	0.0	33.20464167807356	1.4155223010749214	21.758334594562335	1.2822713536960169	0.7604085373638442	0.009168251927535094	0.10207766636	0.00843995547863768	0.09806743736	0.10608789536	0.008020458000000008
p01-s03-c0054-v210-adaptive-g1000-sb0002	p01-s03-c0054	c0054	sb0002	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0002	100.0	0.0	32.7857908223642	0.6171780969089927	21.88274018754817	0.5045304538764863	0.7578049255509982	0.004104155064725247	0.09696395588	0.012922164409574884	0.09251989399999999	0.10140801776	0.008888123760000005
p01-s03-c0054-v210-adaptive-g1000-sb0003	p01-s03-c0054	c0054	sb0003	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0003	100.0	0.0	33.25177636740124	0.7871675613457456	22.38382917530038	0.9668963222488944	0.7608474286972278	0.005164560140543608	0.09962016499999998	0.014207767359935652	0.09137392792	0.10786640207999999	0.016492474159999992
p01-s03-c0054-v210-adaptive-g1000-sb0004	p01-s03-c0054	c0054	sb0004	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0004	100.0	0.0	31.968151979697314	0.8503535113007025	21.023766696190044	0.5871095598677191	0.752284532348185	0.005715731996553126	0.09057689822000001	0.009642689617943321	0.09369639012	0.08745740632	-0.0062389838
p01-s03-c0054-v210-adaptive-g1000-sb0005	p01-s03-c0054	c0054	sb0005	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0005	100.0	0.0	33.93101260340405	1.414009167980984	22.03943676103865	1.1918223865774609	0.7651069240977497	0.009296625680310994	0.10124071722	0.014490383248884407	0.09190361579999999	0.11057781864	0.018674202840000015
p01-s03-c0054-v210-adaptive-g1000-sb0006	p01-s03-c0054	c0054	sb0006	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0006	100.0	0.0	33.66732097071782	0.8060275132372835	22.742206802662658	0.7477480463157178	0.763543967455875	0.005155831702623786	0.09466386306	0.010233887080661974	0.09691617584	0.09241155027999999	-0.004504625560000003
p01-s03-c0054-v210-adaptive-g1000-sb0007	p01-s03-c0054	c0054	sb0007	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0007	100.0	0.0	31.88879660048412	1.1580431241137334	21.33354492912871	0.679885907558633	0.7516782413546567	0.007907400590192808	0.09726890716	0.008626376620392348	0.0966183752	0.09791943911999999	0.001301063919999998
p01-s03-c0054-v210-adaptive-g1000-sb0008	p01-s03-c0054	c0054	sb0008	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0008	100.0	0.0	32.76922544291519	1.048739546676728	21.86773408240357	0.8812345522787614	0.7576243318501413	0.006939217040140065	0.09182816674	0.01162682140553973	0.08728605068	0.09637028280000001	0.009084232120000008
p01-s03-c0054-v210-adaptive-g1000-sb0009	p01-s03-c0054	c0054	sb0009	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0009	100.0	0.0	32.96109985416244	1.0382643693614488	21.460970973979656	0.7646216317370912	0.75889580510432	0.006814359579541915	0.09927144196	0.0110345688976222	0.10440259387999999	0.09414029003999999	-0.01026230384
p01-s03-c0054-v210-adaptive-g1000-sb0010	p01-s03-c0054	c0054	sb0010	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0010	100.0	0.0	31.149922860691728	0.9851448143711437	20.401521926981342	1.1483440393143562	0.7466220175705276	0.006869949786205636	0.09782226114	0.008502804382696847	0.0944559796	0.10118854268	0.00673256307999999
p01-s03-c0054-v210-adaptive-g1000-sb0011	p01-s03-c0054	c0054	sb0011	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0011	100.0	0.0	32.03814701498135	1.0160267296404986	21.050186624676854	0.8958742458871161	0.7527273788007975	0.0068537053421489245	0.09376872894	0.011918627532227822	0.09015718916000001	0.09738026872000001	0.007223079559999998
p01-s03-c0054-v210-adaptive-g1000-sb0012	p01-s03-c0054	c0054	sb0012	H-by-B	100	50	5000	0.5	0.5	0.1	new-simulation	p01-s03-c0054-v210-adaptive-g1000-sb0012	100.0	0.0	32.855954393381374	1.1386275924595473	22.679288564115627	1.0180561629300826	0.7581795128628619	0.007514136144148006	0.09808044710000001	0.010377506123320288	0.09285087884000001	0.10331001536000001	0.010459136519999995
p01-s03-c0055-v210-adaptive-g1000-sb0001	p01-s03-c0055	c0055	sb0001	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0001	100.0	0.0	32.72785168804388	0.7852438623956958	21.448878900026397	0.5267889332842122	0.7573972023086631	0.005228895989738461	0.09076793768	0.006232383352445119	0.08757325319999999	0.09396262216000001	0.006389368960000016
p01-s03-c0055-v210-adaptive-g1000-sb0002	p01-s03-c0055	c0055	sb0002	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0002	100.0	0.0	32.498840307511244	1.051261762461676	21.468038263643276	0.6973173210156016	0.7558217966830985	0.007062424002241122	0.08713208972	0.007015817900732057	0.08630247616	0.08796170328000001	0.0016592271200000092
p01-s03-c0055-v210-adaptive-g1000-sb0003	p01-s03-c0055	c0055	sb0003	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0003	100.0	0.0	34.50082580129887	0.7412926029864478	22.855929752094507	0.6386058941938848	0.7688649084576333	0.004716725412392683	0.08917676682	0.010352092269241511	0.08269515948	0.09565837416	0.012963214680000001
p01-s03-c0055-v210-adaptive-g1000-sb0004	p01-s03-c0055	c0055	sb0004	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0004	100.0	0.0	32.37022399063839	0.8763357426072774	21.41949198894711	0.8052139135336865	0.7549952543049847	0.005857196123773869	0.0939478075	0.012277190038338824	0.09741986952	0.09047574548	-0.006944124039999999
p01-s03-c0055-v210-adaptive-g1000-sb0005	p01-s03-c0055	c0055	sb0005	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0005	100.0	0.0	33.68701770248469	1.1926134692144335	22.46183987014899	0.9800148051470418	0.7635954933066038	0.007792857972265949	0.08591178338000001	0.008465913555303416	0.08457968564	0.08724388111999999	0.0026641954799999923
p01-s03-c0055-v210-adaptive-g1000-sb0006	p01-s03-c0055	c0055	sb0006	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0006	100.0	0.0	32.85865010237018	0.6345768833891494	21.497398690158526	0.6394683831551772	0.7582850844109936	0.004200861467880272	0.0946467161	0.008868649914493704	0.09451166920000001	0.09478176299999999	0.00027009379999998195
p01-s03-c0055-v210-adaptive-g1000-sb0007	p01-s03-c0055	c0055	sb0007	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0007	100.0	0.0	33.066427410076045	0.6776757361533592	21.9063317893217	0.5335144717990123	0.7596490153701196	0.004445269836051331	0.09240260964000001	0.011384686850183992	0.08431192616000001	0.10049329312000001	0.01618136696
p01-s03-c0055-v210-adaptive-g1000-sb0008	p01-s03-c0055	c0055	sb0008	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0008	100.0	0.0	32.933670521791264	1.2802927970733449	21.677871209369606	0.8156041949800203	0.7586598395893099	0.008419785321035995	0.09346881046	0.0070075040655690115	0.09112569951999999	0.0958119214	0.004686221880000008
p01-s03-c0055-v210-adaptive-g1000-sb0009	p01-s03-c0055	c0055	sb0009	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0009	100.0	0.0	32.13427664205391	0.9102623060077181	21.129363413390188	0.808169297909639	0.753399934846838	0.006094603343230602	0.08736304280000001	0.007713172049564796	0.08547702464000001	0.08924906096000002	0.003772036320000005
p01-s03-c0055-v210-adaptive-g1000-sb0010	p01-s03-c0055	c0055	sb0010	H-by-B	1000	1	1000	0.5	0.5	0.1	new-simulation	p01-s03-c0055-v210-adaptive-g1000-sb0010	100.0	0.0	31.56991920410047	0.9210482926360877	21.021197061082884	0.7335415836234702	0.749548102136611	0.006234135045020333	0.08415741360000001	0.007347698067692774	0.08246059188	0.08585423532	0.0033936434399999965
