run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	generation	source_role	source_run_id	D0	shannon	simpson	D1	D2	evenness	TV	turnover	realized_host_feedback	mean_adult_richness	mean_adult_gene_diversity
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	41	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2932249726462497	0.9478899056617007	26.929570896025165	19.190139889365582	0.7151147166431268	0.21605062800000005	0.11887981899999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	42	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2315313897959888	0.9437426273235066	25.31839963718472	17.775447953292716	0.7017181253427721	0.253568269	0.09823491800000002	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	43	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.224347429505113	0.9408956772804046	25.13716503012128	16.919236258644432	0.7001581481865023	0.22971269500000002	0.10062948299999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	44	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1855094019169496	0.9364273780238539	24.179602405007618	15.73004178394944	0.6917245776517296	0.23039952099999997	0.09056557100000003	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	45	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.124890470390356	0.9301231492325478	22.757402347618836	14.310891075042383	0.6785613439212943	0.253955632	0.08969589999999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	46	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1770300920408214	0.9366264241174644	23.9754428528199	15.77944728657135	0.6898833189069544	0.25249114	0.10746674199999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	47	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1486393370685364	0.9335094987061084	23.304333655343868	15.039742226937747	0.6837183447961891	0.25097081000000004	0.10605822899999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	48	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1736455285160314	0.9367007670355989	23.894433611243546	15.797979741119311	0.6891483702757207	0.239791518	0.086123082	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	49	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2217140735936565	0.9425144758990422	25.071057009168353	17.395683794128246	0.6995863222158859	0.214522274	0.10563288199999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	50	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.237937399962056	0.9427391237354334	25.48111016888066	17.463931138245723	0.7031091727758416	0.216542307	0.083621508	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	51	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.279249777734112	0.9457077941100177	26.555842440458306	18.418850065263506	0.7120800416261949	0.24518481299999997	0.102113862	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	52	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.227075521498677	0.9416883652679306	25.20583515540063	17.149236247531153	0.700750545835967	0.23674919199999997	0.08848041899999999	0.5	1.0	0.0
