cell_id	cell	panel	H	B	HB	alpha_target	alpha	m	response	n	mean	sd	ci90_low	ci90_high
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	D1_g100	12	34.228222144614044	0.0011397702158390357	34.227631256627724	34.228813032600364
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	D2_g100	12	22.205989445253234	0.0008091038079399818	22.205569983757265	22.206408906749203
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	evenness_g100	12	0.7671921708603389	7.230834847302967e-06	0.7671884221982113	0.7671959195224665
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	TV_g100	12	9.114908333333107e-05	6.258551668910909e-06	8.790447934076682e-05	9.439368732589533e-05
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	TV_tail_mean	12	8.990419999999986e-05	1.6253661671253659e-06	8.90615658197261e-05	9.074683418027363e-05
p01-s03-c0068	c0068	alpha-by-m	1000	10	10000	0.0	0.0	0.9	TV_tail_sd	12	9.016350249563098e-06	7.766755526728988e-07	8.613700446151305e-06	9.419000052974891e-06
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	D1_g100	12	34.22807796265089	0.0010242989935455376	34.22754693809763	34.228608987204154
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	D2_g100	12	22.205892214882464	0.0006855568912912787	22.20553680347991	22.20624762628502
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	evenness_g100	12	0.7671912561749451	6.498285166061954e-06	0.7671878872865648	0.7671946250633254
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	TV_g100	12	9.088850000000023e-05	7.586358600689569e-06	8.695552465570546e-05	9.482147534429499e-05
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	TV_tail_mean	12	9.019068833333303e-05	1.669489939254299e-06	8.932517918536861e-05	9.105619748129745e-05
p01-s03-c0069	c0069	alpha-by-m	1000	10	10000	0.0	0.0	0.99	TV_tail_sd	12	8.701508310352358e-06	9.6857830385285e-07	8.19937088334939e-06	9.203645737355327e-06
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	D1_g100	12	34.20402868343552	0.11688609337749295	34.14343174259188	34.264625624279155
